url,domain_name,ip,dport,country,having_ip_address,hostname_length,count_dir,count-www,fd_length,url_length,abnormal_url,count-http,count-letters,tld-length,count.,count-digits,count-,count=,count-https,sus_url,count?,count%,short_url,count@,count_embed_domain,malicous
http://117.196.31.18:42712/Mozi.a,117.196.31.18,117.196.31.18,42712,IN,True,13,1,0,6,33,1,1,9,-1,4,15,0,0,0,0,0,0,0,0,0,True
http://219.157.233.195:59458/i,219.157.233.195,219.157.233.195,59458,CN,True,15,1,0,1,30,1,1,5,-1,3,17,0,0,0,0,0,0,0,0,0,True
http://115.51.98.51:41156/bin.sh,115.51.98.51,115.51.98.51,41156,CN,True,12,1,0,6,32,1,1,9,-1,4,14,0,0,0,0,0,0,0,0,0,True
http://117.221.122.40:54452/i,117.221.122.40,117.221.122.40,54452,IN,True,14,1,0,1,29,1,1,5,-1,3,16,0,0,0,0,0,0,0,0,0,True
http://59.96.29.163:47324/Mozi.m,59.96.29.163,59.96.29.163,47324,IN,True,12,1,0,6,32,1,1,9,-1,4,14,0,0,0,0,0,0,0,0,0,True
http://46.107.153.105:52556/i,46.107.153.105,46.107.153.105,52556,HU,True,14,1,0,1,29,1,1,5,-1,3,16,0,0,0,0,0,0,0,0,0,True
http://220.142.168.145:55672/Mozi.m,220.142.168.145,220.142.168.145,55672,TW,True,15,1,0,6,35,1,1,9,-1,4,17,0,0,0,0,0,0,0,0,0,True
http://42.235.22.10:59109/Mozi.m,42.235.22.10,42.235.22.10,59109,CN,True,12,1,0,6,32,1,1,9,-1,4,14,0,0,0,0,0,0,0,0,0,True
http://27.206.83.199:42273/Mozi.m,27.206.83.199,27.206.83.199,42273,CN,True,13,1,0,6,33,1,1,9,-1,4,15,0,0,0,0,0,0,0,0,0,True
http://219.154.40.170:45633/Mozi.m,219.154.40.170,219.154.40.170,45633,CN,True,14,1,0,6,34,1,1,9,-1,4,16,0,0,0,0,0,0,0,0,0,True
http://117.196.64.42:58830/Mozi.m,117.196.64.42,117.196.64.42,58830,IN,True,13,1,0,6,33,1,1,9,-1,4,15,0,0,0,0,0,0,0,0,0,True
http://125.44.28.244:49159/Mozi.m,125.44.28.244,125.44.28.244,49159,CN,True,13,1,0,6,33,1,1,9,-1,4,15,0,0,0,0,0,0,0,0,0,True
http://120.57.209.104:48335/Mozi.m,120.57.209.104,120.57.209.104,48335,IN,True,14,1,0,6,34,1,1,9,-1,4,16,0,0,0,0,0,0,0,0,0,True
http://115.50.63.25:45177/Mozi.m,115.50.63.25,115.50.63.25,45177,CN,True,12,1,0,6,32,1,1,9,-1,4,14,0,0,0,0,0,0,0,0,0,True
http://117.213.13.209:40957/Mozi.m,117.213.13.209,117.213.13.209,40957,IN,True,14,1,0,6,34,1,1,9,-1,4,16,0,0,0,0,0,0,0,0,0,True
http://115.56.150.220:41436/i,115.56.150.220,115.56.150.220,41436,CN,True,14,1,0,1,29,1,1,5,-1,3,16,0,0,0,0,0,0,0,0,0,True
http://219.154.40.170:45633/bin.sh,219.154.40.170,219.154.40.170,45633,CN,True,14,1,0,6,34,1,1,9,-1,4,16,0,0,0,0,0,0,0,0,0,True
