dport,having_ip_address,hostname_length,count_dir,count-www,fd_length,url_length,abnormal_url,count-http,count-letters,tld-length,count.,count-digits,count-,count=,count-https,sus_url,count?,count%,short_url,count@,count_embed_domain,malicious
80,False,16,0,0,0,16,0,0,13,-1,2,0,1,0,0,0,0,0,0,0,0,0
80,False,11,2,0,5,35,0,0,29,-1,2,1,0,0,0,0,0,0,0,0,0,1
80,False,14,3,0,7,31,0,0,25,-1,2,1,0,0,0,0,0,0,0,0,0,1
80,False,21,1,1,9,88,1,1,63,2,3,7,1,4,0,0,1,0,0,0,0,2
80,False,23,1,0,9,235,1,1,199,3,2,22,1,3,0,0,1,0,0,0,0,2
80,False,11,3,0,1,118,1,1,93,3,2,1,16,0,0,0,0,0,0,0,0,1
80,False,11,6,0,3,45,0,0,31,-1,2,4,1,0,0,0,0,0,0,0,0,1
80,False,18,1,0,0,46,0,0,40,-1,1,0,2,1,0,0,1,0,1,0,0,1
80,False,22,1,1,14,44,1,1,37,3,2,0,1,0,0,0,0,0,0,0,0,2
80,False,12,2,0,5,45,0,0,33,-1,1,5,4,0,0,0,0,0,0,0,0,1
80,False,19,3,0,4,62,0,0,47,-1,2,7,3,0,0,0,0,0,0,0,0,1
80,False,20,3,1,9,64,1,1,50,2,3,4,1,0,0,0,0,0,0,0,0,2
80,False,11,3,0,5,30,0,0,18,-1,1,8,0,0,0,0,0,0,0,0,0,1
80,False,32,2,1,9,61,1,1,50,2,4,1,1,0,0,0,0,0,0,0,0,2
80,False,21,1,1,13,51,1,1,40,2,3,2,0,1,0,0,1,0,0,0,0,2
80,False,21,2,0,8,48,1,1,42,3,1,0,0,0,0,0,0,0,0,0,0,2
80,False,21,3,0,3,44,0,0,37,-1,3,0,0,0,0,0,0,0,0,0,0,1
80,False,9,1,0,19,52,0,0,38,-1,2,7,0,2,0,0,1,0,0,0,0,1
80,False,15,5,0,3,46,0,0,31,-1,2,7,1,0,0,0,0,0,0,0,0,1
80,False,11,1,1,15,34,1,1,26,2,3,0,1,0,0,0,0,0,0,0,0,2
80,False,22,3,0,7,48,0,0,40,-1,2,2,1,0,0,0,0,0,0,0,0,1
80,False,42,0,0,0,42,0,0,36,-1,6,0,0,0,0,1,0,0,0,0,0,0
80,False,7,5,0,4,35,0,0,26,-1,1,3,0,0,0,0,0,0,0,0,0,1
80,False,11,5,0,4,83,0,0,62,-1,2,8,6,0,0,0,0,0,0,0,0,1
80,False,16,3,0,2,33,0,0,24,-1,1,5,0,0,0,0,0,0,0,0,0,1
80,False,13,1,0,10,33,0,0,23,-1,2,5,0,1,0,0,1,0,0,0,0,1
80,False,14,3,0,9,30,0,0,26,-1,1,0,0,0,0,0,0,0,0,0,0,1
80,False,17,5,0,4,85,1,1,58,3,1,12,6,0,0,0,0,0,0,0,0,1
